,0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y
0,104.34782608695652,93.91304347826087,104.34782608695652,104.34782608695652,104.34782608695652,109.56521739130434,125.21739130434784,114.78260869565216,146.08695652173913,109.56521739130434,104.34782608695652,104.34782608695652,-999.0,-999.0,278.2608695652174,208.69565217391303,132.17391304347825,120.0,153.04347826086956,109.56521739130434,166.95652173913044,114.78260869565216,132.17391304347825,120.0,153.04347826086956,109.56521739130434,173.91304347826087,125.21739130434784
1,104.34782608695652,93.91304347826087,97.3913043478261,109.56521739130434,104.34782608695652,109.56521739130434,125.21739130434784,99.1304347826087,111.30434782608695,99.1304347826087,90.43478260869566,114.78260869565216,-999.0,-999.0,278.2608695652174,208.69565217391303,125.21739130434784,114.78260869565216,153.04347826086956,109.56521739130434,173.91304347826087,120.0,125.21739130434784,120.0,146.08695652173913,109.56521739130434,180.8695652173913,130.43478260869566
2,104.34782608695652,93.91304347826087,104.34782608695652,109.56521739130434,104.34782608695652,109.56521739130434,125.21739130434784,104.34782608695652,111.30434782608695,99.1304347826087,97.3913043478261,109.56521739130434,-999.0,-999.0,278.2608695652174,208.69565217391303,132.17391304347825,114.78260869565216,153.04347826086956,104.34782608695652,173.91304347826087,120.0,125.21739130434784,120.0,153.04347826086956,114.78260869565216,180.8695652173913,130.43478260869566
3,104.34782608695652,93.91304347826087,104.34782608695652,104.34782608695652,104.34782608695652,109.56521739130434,111.30434782608695,114.78260869565216,111.30434782608695,99.1304347826087,111.30434782608695,99.1304347826087,125.21739130434784,104.34782608695652,278.2608695652174,208.69565217391303,132.17391304347825,120.0,146.08695652173913,104.34782608695652,166.95652173913044,114.78260869565216,132.17391304347825,114.78260869565216,146.08695652173913,104.34782608695652,166.95652173913044,114.78260869565216
4,104.34782608695652,93.91304347826087,104.34782608695652,104.34782608695652,104.34782608695652,109.56521739130434,118.2608695652174,114.78260869565216,125.21739130434784,104.34782608695652,111.30434782608695,99.1304347826087,125.21739130434784,104.34782608695652,278.2608695652174,208.69565217391303,132.17391304347825,120.0,146.08695652173913,104.34782608695652,166.95652173913044,120.0,132.17391304347825,114.78260869565216,146.08695652173913,104.34782608695652,160.0,114.78260869565216
5,104.34782608695652,93.91304347826087,104.34782608695652,104.34782608695652,104.34782608695652,109.56521739130434,125.21739130434784,114.78260869565216,125.21739130434784,104.34782608695652,104.34782608695652,104.34782608695652,118.2608695652174,99.1304347826087,278.2608695652174,208.69565217391303,132.17391304347825,120.0,146.08695652173913,104.34782608695652,173.91304347826087,120.0,132.17391304347825,114.78260869565216,153.04347826086956,114.78260869565216,166.95652173913044,120.0
6,104.34782608695652,93.91304347826087,104.34782608695652,104.34782608695652,104.34782608695652,104.34782608695652,125.21739130434784,114.78260869565216,125.21739130434784,104.34782608695652,104.34782608695652,104.34782608695652,118.2608695652174,99.1304347826087,278.2608695652174,208.69565217391303,132.17391304347825,120.0,146.08695652173913,104.34782608695652,166.95652173913044,120.0,132.17391304347825,114.78260869565216,146.08695652173913,104.34782608695652,166.95652173913044,120.0
8,104.34782608695652,99.1304347826087,104.34782608695652,99.1304347826087,111.30434782608695,99.1304347826087,125.21739130434784,114.78260869565216,125.21739130434784,104.34782608695652,104.34782608695652,104.34782608695652,118.2608695652174,99.1304347826087,278.2608695652174,208.69565217391303,132.17391304347825,114.78260869565216,146.08695652173913,104.34782608695652,166.95652173913044,120.0,139.1304347826087,114.78260869565216,146.08695652173913,104.34782608695652,166.95652173913044,120.0
9,111.30434782608695,99.1304347826087,111.30434782608695,99.1304347826087,111.30434782608695,99.1304347826087,125.21739130434784,114.78260869565216,125.21739130434784,104.34782608695652,111.30434782608695,104.34782608695652,118.2608695652174,99.1304347826087,278.2608695652174,208.69565217391303,139.1304347826087,109.56521739130434,146.08695652173913,104.34782608695652,166.95652173913044,120.0,139.1304347826087,109.56521739130434,146.08695652173913,104.34782608695652,166.95652173913044,120.0
14,111.30434782608695,104.34782608695652,111.30434782608695,104.34782608695652,111.30434782608695,104.34782608695652,125.21739130434784,114.78260869565216,278.2608695652174,208.69565217391303,104.34782608695652,104.34782608695652,118.2608695652174,99.1304347826087,278.2608695652174,208.69565217391303,146.08695652173913,109.56521739130434,153.04347826086956,104.34782608695652,160.0,120.0,146.08695652173913,114.78260869565216,153.04347826086956,104.34782608695652,166.95652173913044,120.0
