,nx,ny,rsx,rsy,lsx,lsy,rhx,rhy,lhx,lhy,rkx,rky,lkx,lky,label,original_index
0,-90.4347826,10.43478262,-104.3478261,10.43478261,0,10.43478262,-76.5217391,-10.4347826,-55.6521739,-10.4347826,-83.4782608,-26.0869566,-48.6956522,-10.4347827,0,0
1,-97.3913043,10.43478262,-104.3478261,15.65217393,0,15.65217392,-76.5217391,-5.2173913,-48.6956522,-5.2173913,-83.4782609,-20.8695652,-41.7391304,-5.2173913,0,2
2,-97.3913043,20.86956523,-104.3478261,20.86956523,0,20.86956522,-76.5217391,-5.2173913,-55.6521739,-5.2173913,-76.5217392,-20.8695652,-48.6956521,-5.2173913,0,4
3,-97.3913043,26.08695653,-97.3913043,20.86956523,0,20.86956522,-69.5652174,-5.2173913,-55.6521739,-5.2173913,-69.5652174,-20.8695652,-48.6956521,-5.2173913,0,6
4,-104.3478261,31.30434783,-104.347826,26.08695653,0,26.08695652,-69.5652174,-5.2173913,-48.6956521,-5.2173913,-69.5652174,-15.6521739,-41.7391304,-5.2173913,0,8
5,-97.3913044,31.30434783,-104.347826,31.30434783,0,31.30434782,-62.6086957,-5.2173913,-48.6956522,-5.2173913,-69.5652174,-10.4347826,-34.7826087,-5.2173913,0,10
6,-104.3478261,36.52173913,-104.3478261,31.30434783,0,41.73913043,-69.5652174,0,-48.6956522,-5.2173913,-62.6086957,-5.2173913,-34.7826087,-5.2173913,0,12
7,-97.3913043,41.73913043,-111.3043478,36.52173913,0,41.73913043,-62.6086956,0,-55.6521739,5.2173913,-55.6521739,5.2173913,-34.7826087,-5.2173913,0,14
8,-97.3913044,46.95652173,-104.3478261,41.73913043,0,46.95652173,-69.5652174,5.2173913,-62.6086957,10.4347826,-55.6521739,10.4347826,-41.7391305,-10.4347826,0,16
9,-104.3478261,46.95652173,-111.3043478,46.95652173,0,52.17391303,-69.5652174,10.4347826,-62.6086957,10.4347826,-55.6521739,10.4347826,-41.7391305,-10.4347826,0,18
10,-104.3478261,46.95652173,-111.3043478,52.17391303,0,52.17391303,-62.6086957,10.4347826,-69.5652174,10.4347826,-55.6521739,15.6521739,-48.6956522,-5.2173913,0,20
11,-104.3478261,52.17391303,-111.3043478,52.17391303,0,52.17391303,-69.5652174,15.6521739,-69.5652174,15.6521739,-48.6956522,15.6521739,-55.652174,-5.2173913,0,22
12,-104.3478261,52.17391303,-111.3043479,52.17391303,0,52.17391303,-69.5652174,15.6521739,-69.5652174,15.6521739,-55.6521739,15.6521739,-55.6521739,-5.2173913,1,24
13,-97.3913044,52.17391303,-104.3478261,52.17391303,0,52.17391303,-69.5652174,20.8695652,-76.5217391,15.6521739,-55.6521739,15.6521739,-55.6521739,-5.2173913,1,26
14,-97.3913043,52.17391303,-104.3478261,52.17391303,0,52.17391303,-83.4782609,26.0869565,-69.5652174,15.6521739,-48.6956522,15.6521739,-62.6086956,-5.2173913,1,28
15,-90.4347826,52.17391303,-104.3478261,52.17391303,0,52.17391303,-76.5217391,20.8695652,-76.5217392,15.6521739,-69.5652174,10.4347826,-55.6521739,-5.2173913,1,30
16,-90.43478265,52.17391303,-97.39130435,57.39130433,0,46.95652173,-83.4782608,20.8695652,-76.5217392,15.6521739,-41.7391304,15.6521739,-48.6956521,-5.2173913,1,32
17,-83.47826085,46.95652172,-90.43478265,52.17391303,0,46.95652172,-69.5652174,26.0869565,-69.5652174,15.6521739,-41.7391304,15.6521739,-48.6956521,-15.6521739,1,34
18,-83.47826085,46.95652172,-83.47826085,46.95652172,0,41.73913042,-69.5652174,20.8695652,-69.5652174,15.6521739,-34.7826087,5.2173913,-41.7391304,-15.6521739,1,36
19,-76.52173915,41.73913042,-76.52173915,46.95652172,0,41.73913042,-62.6086957,15.6521739,-62.6086957,10.4347826,-34.7826087,5.2173913,-41.7391304,-20.8695652,1,38
20,-69.56521735,36.5217391,-62.6086956,41.73913042,0,36.5217391,-55.652174,15.6521739,-62.6086957,10.4347826,-34.7826087,10.4347826,-41.7391304,-26.0869565,1,40
21,-62.60869565,36.5217391,-62.6086956,36.5217391,0,31.3043478,-41.7391304,10.4347826,-62.6086957,10.4347826,-13.9130434,-10.4347826,-55.6521739,-10.4347826,1,42
22,-62.60869565,31.3043478,-55.6521739,31.3043478,0,26.0869565,-34.7826087,10.4347826,-55.652174,15.6521739,-27.8260869,5.2173913,-48.6956522,-10.4347826,1,44
23,-55.65217395,26.0869565,-55.6521739,31.3043478,0,31.3043478,-41.7391304,10.4347826,-48.6956522,10.4347826,-27.8260869,5.2173913,-48.6956522,-10.4347826,1,46
24,-48.69565215,20.8695652,-48.6956522,26.0869565,0,26.0869565,-41.7391304,10.4347826,-48.6956522,10.4347826,-20.8695652,10.4347826,-34.7826087,-20.8695652,1,48
25,-48.69565215,20.8695652,-48.6956522,20.8695652,0,20.8695652,-34.7826087,15.6521739,-48.6956522,20.8695652,-20.8695652,15.6521739,-34.7826087,-20.8695652,1,50
26,-41.73913045,20.8695652,-41.7391304,20.8695652,0,15.6521739,-41.7391305,10.4347826,-55.6521739,15.6521739,-6.9565217,-15.6521739,-48.6956522,5.2173913,1,52
27,-41.73913045,20.8695652,-34.7826087,20.8695652,0,15.6521739,-48.6956522,10.4347826,-48.6956522,10.4347826,-13.9130435,10.4347826,-34.7826087,-15.6521739,0,54
28,-34.78260865,15.6521739,-41.73913045,15.6521739,0,15.6521739,-41.7391304,15.6521739,-34.7826087,5.2173913,-13.9130435,0,-27.8260869,-5.2173913,0,56
29,-27.82608695,15.6521739,-27.82608695,15.6521739,0,10.4347826,-34.7826087,10.4347826,-27.826087,5.2173913,-6.9565217,0,-27.8260869,-5.2173913,0,58
30,-20.86956525,10.4347826,-20.8695652,10.4347826,0,10.4347826,-27.826087,10.4347826,-20.8695653,10.4347826,-6.9565217,0,-20.8695652,-5.2173913,0,60
31,-20.86956525,10.4347826,-13.9130435,10.4347826,0,10.4347826,-20.8695653,10.4347826,-20.8695653,10.4347826,-6.9565217,0,-13.9130434,0,0,62
32,-13.91304345,10.4347826,-6.9565217,10.4347826,0,10.4347826,-13.9130435,5.2173913,-20.8695652,10.4347826,0,5.2173913,-6.9565217,0,0,64
33,-13.91304345,5.2173913,-13.91304345,10.4347826,0,10.4347826,-13.9130435,5.2173913,-13.9130435,5.2173913,0,0,-13.9130435,0,0,66
34,-6.95652175,5.2173913,0,10.4347826,0,10.4347826,6.9565217,0,-6.9565218,5.2173913,0,0,0,0,0,68
35,-6.95652175,5.2173913,6.95652175,5.2173913,0,10.4347826,6.9565217,0,0,5.2173913,20.8695652,5.2173913,0,-5.2173913,0,70
36,0,0,6.95652175,0,0,10.4347826,6.9565217,0,-6.9565217,5.2173913,0,0,0,0,0,72
37,6.95652175,0,6.95652175,0,0,5.2173913,6.9565217,-5.2173913,0,5.2173913,0,0,0,5.2173913,0,74
38,0,0,6.95652175,0,0,5.2173913,6.9565217,0,0,5.2173913,6.9565217,10.4347826,0,5.2173913,0,76
39,0,0,6.95652175,0,0,5.2173913,6.9565217,0,0,5.2173913,6.9565217,10.4347826,0,10.4347826,0,78
40,0,0,0,0,0,5.2173913,0,0,0,5.2173913,0,5.2173913,0,15.6521739,0,80
41,0,0,0,0,0,5.2173913,-6.9565218,5.2173913,0,5.2173913,-13.9130435,26.0869565,13.9130435,0,0,82
42,0,0,0,0,0,5.2173913,-13.9130435,5.2173913,0,0,6.9565217,10.4347826,13.9130435,0,0,84
43,0,0,0,0,0,0,-6.9565218,5.2173913,-6.9565218,5.2173913,6.9565217,10.4347826,13.9130435,0,0,86
44,0,0,0,0,0,0,-6.9565218,5.2173913,-6.9565218,5.2173913,6.9565217,5.2173913,0,15.6521739,0,88
45,0,0,0,0,0,0,-13.9130435,5.2173913,0,-5.2173913,6.9565217,0,0,15.6521739,0,90
46,0,-5.2173913,0,0,0,0,0,5.2173913,6.9565217,0,-13.9130435,26.0869565,13.9130435,-10.4347826,0,92
47,0,-5.2173913,0,0,0,0,6.9565217,5.2173913,6.9565217,0,0,0,0,10.4347826,0,94
48,0,-5.2173913,6.95652175,0,0,0,6.9565217,0,0,5.2173913,0,5.2173913,0,5.2173913,0,96
49,0,-5.2173913,6.95652175,0,0,0,6.9565217,0,0,5.2173913,0,5.2173913,0,5.2173913,0,98
50,0,0,0,0,0,0,0,0,-6.9565217,0,0,0,0,5.2173913,0,100
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
52,0,0,0,0,0,0,0,5.2173913,6.9565217,0,0,-5.2173913,0,0,0,104
53,0,0,6.95652175,0,0,0,6.9565217,0,6.9565217,0,0,0,6.9565218,0,0,106
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
56,0,5.2173913,0,0,0,0,6.9565217,0,6.9565217,0,0,0,0,0,0,112
57,-6.95652175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
58,0,5.2173913,0,0,0,0,0,0,0,0,-6.9565217,0,0,0,0,116
59,0,5.2173913,0,0,0,0,0,0,0,0,-6.9565217,0,0,0,0,118
60,0,5.2173913,0,0,0,0,0,0,0,0,0,0,0,0,0,120
61,0,5.2173913,0,0,0,0,0,0,0,0,0,0,0,0,0,122
62,0,0,0,0,0,0,0,0,0,0,-6.9565217,0,0,0,0,124
63,0,0,0,0,0,0,0,0,0,0,-6.9565217,0,0,0,0,126
64,0,0,0,0,0,0,0,0,0,0,-6.9565217,0,0,0,0,128
65,0,0,0,0,0,0,0,0,0,0,-6.9565217,0,0,0,0,130
66,0,5.2173913,0,0,0,0,0,0,0,0,0,0,0,0,0,132
67,0,5.2173913,0,0,0,0,0,0,0,0,0,0,0,0,0,134
68,0,5.2173913,0,0,0,0,0,0,0,0,0,0,0,0,0,136
69,0,5.2173913,0,0,0,0,0,0,0,0,0,0,0,0,0,138
